Estadio	Ciudad	Comunidad	Inauguración	Capacidad	Equipo	Capacidad
El Molinón	Gijón	  P. de Asturias	1908	30000	Real Sporting de Gijón	30000
Camp d'Esports	Lérida	  Cataluña	1918	12500	Lleida Esportiu	12 500
La Murta	Játiva	  C. Valenciana	1919	8000	CD Olímpic de Xàtiva	8 000
Nuevo Malecón	Torrelavega	  Cantabria	1921	5007	RS Gimnástica de Torrelavega	5 007
El Madrigal	Villarreal	  C. Valenciana	1922	23500	Villarreal CF	23 500
Francisco Peraza	San Cristóbal de La Laguna	  Canarias	1922	7000	CD Laguna	7 000
Guadalquivir	Coria del Río	  Andalucía	1922	5000	Coria CF	5 000
Las Llanas	Sestao	  País Vasco	1922	7905	Sestao River Club	7 905
La Condomina	Murcia	  R. de Murcia	1923	16500	Desocupado	16 500
Mestalla	Valencia	  C. Valenciana	1923	55000	Valencia CF	55000
Heliodoro Rodríguez López	Santa Cruz de Tenerife	  Canarias	1924	21948	CD Tenerife	21 948
Stadium Gal	Irún	  País Vasco	1925	4000	Real Unión Club	4 000
Balaídos	Vigo	  Galicia	1927	29000	RC Celta de Vigo	29000
Merkatondoa	Estella	  Navarra	1927	4000	CD Izarra	4 000
Olímpico Lluís Companys	Barcelona	  Cataluña	1927	54000	Desocupado	54000
Benito Villamarín	Sevilla	  Andalucía	1929	51700	Real Betis Balompié	51700
Sancho Dávila	Puerto Real	  Andalucía	1930	5000	Puerto Real CF	5 000
La Rosaleda	Málaga	  Andalucía	1941	30044	Málaga CF	30044
Insular	Las Palmas de Gran Canaria	  Canarias	1943	19300	Desocupado	19 300
Álvarez Claro	Melilla	  Melilla	1944	9000	UD Melilla	9 000
Los Arcos	Orihuela	  C. Valenciana	1944	5000	Orihuela CF	5 000
Riazor	La Coruña	  Galicia	1944	34600	RC Deportivo de La Coruña	34600
Ipurúa	Éibar	  País Vasco	1946	4250	SD Eibar	4 250
Municipal El Val	Alcalá de Henares	  C. de Madrid	1946	6500	RSD Alcalá	6 500
El Palmar	Sanlúcar de Barrameda	  Andalucía	1947	4000	Atlético Sanluqueño CF	4 000
Estadio Municipal de Tomelloso	Tomelloso	  Castilla-La Mancha	1947	4000	Tomelloso CF	4 000
Santiago Bernabéu	Madrid	  C. de Madrid	1947	81044	Real Madrid CF	81044
La Magdalena	Novelda	  C. Valenciana	1948	6000	Novelda CF	6 000
Anduva	Miranda de Ebro	  Castilla y León	1949	5000	CD Mirandés	5 000
El Clariano	Onteniente	  C. Valenciana	1950	4000	Ontinyent CF	4 000
Francisco de la Hera	Almendralejo	  Extremadura	1950	10580	Extremadura UD	10 580
Hermanos Antuña	Mieres	  P. de Asturias	1950	6500	Caudal Deportivo	6 500
Miramar	Luanco	  P. de Asturias	1951	4000	Club Marino de Luanco	4 000
Estadio municipal Los Cuartos	La Orotava	  Canarias	1952	4000	UD Orotava	4 000
Romano	Mérida	  Extremadura	1952	13600	Mérida AD	13 600
El Soto	Móstoles	  C. de Madrid	1954	13000	Mostoles C.F.	13 000
Linarejos	Linares	  Andalucía	1955	9000	CD Linares	9 000
Pasarón	Pontevedra	  Galicia	1955	11000	Pontevedra CF	11 000
Mendizorroza	Vitoria	  País Vasco	1956	18840	Deportivo Alavés	18 840
Pinilla	Teruel	  Aragón	1956	4000	CD Teruel	4 000
Ramón de Carranza	Cádiz	  Andalucía	1956	24033	Cádiz CF	24 033
Vicente Sanz	Don Benito	  Extremadura	1956	5000	CD Don Benito	5 000
Camp Nou	Barcelona	  Cataluña	1957	30000	FC Barcelona	99354
La Romareda	Zaragoza	  Aragón	1957	34596	Real Zaragoza	34596
Nuestra Señora de la Caridad	Villarrobledo	  Castilla-La Mancha	1957	4500	CP Villarrobledo	4 500
Estadio Municipal de Loinaz	Beasain	  País Vasco	1958	5000	SD Beasain	5 000
