iata;airport;city;state;lat;lon
00M;Thigpen;Bay Springs;MS;3195376472;-8923450472
00R;Livingston Municipal;Livingston;TX;3068586111;-9501792778
00V;Meadow Lake;Colorado Springs;CO;3894574889;-1045698933
01G;Perry-Warsaw;Perry;NY;4274134667;-7805208056
01J;Hilliard Airpark;Hilliard;FL;306880125;-8190594389
01M;Tishomingo County;Belmont;MS;3449166667;-8820111111
02A;Gragg-Wade;Clanton;AL;3285048667;-8661145333
02C;Capitol;Brookfield;WI;4308751;-8817786917
02G;Columbiana County;East Liverpool;OH;4067331278;-8064140639
03D;Memphis Memorial;Memphis;MO;4044725889;-9222696056
04M;Calhoun County;Pittsboro;MS;3393011222;-8934285194
04Y;Hawley Municipal;Hawley;MN;4688384889;-9635089861
05C;Griffith-Merrillville;Griffith;IN;4151961917;-8740109333
05F;Gatesville - City/County;Gatesville;TX;3142127556;-9779696778
05U;Eureka;Eureka;NV;3960416667;-1160050597
06A;Moton  Municipal;Tuskegee;AL;3246047167;-8568003611
06C;Schaumburg;Chicago/Schaumburg;IL;4198934083;-8810124278
06D;Rolla Municipal;Rolla;ND;4888434111;-9962087694
06M;Eupora Municipal;Eupora;MS;3353456583;-8931256917
06N;Randall;Middletown;NY;4143156583;-7439191722
06U;Jackpot/Hayden;Jackpot;NV;4197602222;-1146580911
07C;Dekalb County;Auburn;IN;4130716667;-8506433333
07F;Gladewater Municipal;Gladewater;TX;3252883861;-9497174556
07G;Fitch H Beach;Charlotte;MI;4257450861;-8481143139
07K;Central City Municipal;Central City;NE;4111668056;-9805033639
08A;Wetumpka Municipal;Wetumpka;AL;3252943944;-8632822139
08D;Stanley Municipal;Stanley;ND;4830079861;-1024063514
08K;Harvard State;Harvard;NE;4065138528;-9807978667
08M;Carthage-Leake County;Carthage;MS;3276124611;-8953007139
09A;Butler-Choctaw County;Butler;AL;3211931306;-881274625
09J;Jekyll Island;Jekyll Island;GA;3107447222;-8142777778
09K;Sargent Municipal;Sargent;NE;4163695083;-9934038139
09M;Charleston Municipal;Charleston;MS;3399150222;-90078145
09W;South Capitol Street;Washington;DC;3886872333;-7700747583
0A3;Smithville Municipal;Smithville;TN;3598531194;-8580931806
0A8;Bibb County;Centreville;AL;3293679056;-8708888306
0A9;Elizabethton Municipal;Elizabethton;TN;3637094306;-8217374111
0AK;Pilot Station;Pilot Station;AK;6193396417;-1628929358
0B1;Col. Dyke;Bethel;ME;4442506444;-7080784778
0B4;Hartington Municipal;Hartington;NE;4260355556;-9725263889
0B5;Turners Falls;Montague;MA;4259136361;-7252275472
0B7;Warren-Sugar Bush;Warren;VT;4411672722;-7282705806
0B8;Elizabeth;Fishers Island;NY;4125130806;-7203161139
0C0;Dacy;Chicago/Harvard;IL;4240418556;-8863343222
0C4;Pender Municipal;Pender;NE;4211388722;-9672892556
0D1;South Haven Municipal;South Haven;MI;4235083333;-8625613889
0D8;Gettysburg Municipal;Gettysburg;SD;4498730556;-999535
0E0;Moriarty;Moriarty;NM;3498560639;-1060094661
0E8;Crownpoint;Crownpoint;NM;3571765889;-1082015961
0F2;Bowie Municipal;Bowie;TX;3360166667;-9777556
0F4;Loup City Municipal;Loup City;NE;4129028694;-9899064278
0F7;Fountainhead Lodge Airpark;Eufaula;OK;3538898833;-9560165111
0F8;William R Pogue Municipal;Sand Springs;OK;3617528;-9615181028
0F9;Tishomingo Airpark;Tishomingo;OK;3419592833;-9667555694
0G0;North Buffalo Suburban;Lockport;NY;4310318389;-7870334583
0G3;Tecumseh Municipal;Tecumseh;NE;4039944417;-9617139694
0G6;Williams County;Bryan;OH;4146736111;-8450655556
0G7;Finger Lakes Regional;Seneca Falls;NY;4288062278;-7678162028
0H1;Trego Wakeeney;Wakeeney;KS;390044525;-9989289917
0I8;Cynthiana-Harrison County;Cynthiana;KY;3836674167;-8428410056
0J0;Abbeville Municipal;Abbeville;AL;3160016778;-8523882222
0J4;Florala Municipal;Florala;AL;3104247361;-8631156111
0J6;Headland Municipal;Headland;AL;31364895;-8530965556
0K7;Humboldt Municipal;Humboldt;IA;427360825;-9424524167
0L5;Goldfield;Goldfield;NV;3771798833;-1172384119
0L7;Jean;Jean;NV;3576827222;-1153296378
0L9;Echo Bay;Overton;NV;3631108972;-1144638672
0M0;Dumas Municipal;Dumas;AR;338845475;-9153429111
0M1;Scott;Parsons;TN;3563778;-88127995
0M4;Benton County;Camden;TN;3601122694;-8812328833
