dest;id
BDL;1
MDW;2
PHL;3
LGA;4
LGA;5
PHL;6
FLL;7
LAX;8
ISP;9
ISP;10
SNA;11
SBP;12
PHL;13
MSP;14
LAX;15
SAN;16
ATL;17
DSM;18
MKE;19
JFK;20
JFK;21
EWR;22
JFK;23
HOU;24
LAX;25
BRW;26
HOU;27
JFK;28
LAX;29
SAN;30
JFK;31
JFK;32
JFK;33
OTZ;34
OME;35
ANC;36
SEA;37
JFK;38
JFK;39
LAX;40
PHL;41
CAK;42
JFK;43
JFK;44
JFK;45
HOU;46
LGA;47
LGA;48
LGA;49
MSP;50
LAS;51
ITO;52
LGA;53
LGA;54
LGA;55
LGA;56
SAN;57
JFK;58
SNA;59
SAN;60
PHL;61
LGA;62
LGA;63
PHX;64
SAN;65
SAN;66
PHL;67
BUF;68
SAN;69
LGA;70
LGA;71
LGA;72
LGA;73
PHL;74
SNA;75
MSP;76
PHL;77
LGA;78
ATL;79
FLL;80
BDL;81
SFO;82
PHL;83
SNA;84
PHL;85
LGA;86
BDL;87
SAN;88
BDL;89
JFK;90
DCA;91
LGA;92
SAN;93
LGA;94
BDL;95
ORD;96
LGA;97
DEN;98
LGA;99
PHL;100
LGA;101
SAN;102
LGA;103
DTW;104
DTW;105
PHL;106
SAN;107
PHL;108
LAX;109
ORD;110
PHL;111
SAN;112
LGA;113
LGA;114
LGA;115
HPN;116
MLI;117
SBA;118
SBP;119
MRY;120
SBA;121
HSV;122
LGA;123
LAX;124
CVG;125
PWM;126
SUN;127
JFK;128
JFK;129
JFK;130
HNL;131
HNL;132
HNL;133
HOU;134
CRP;135
HNL;136
HNL;137
HNL;138
ORD;139
ORD;140
LAX;141
LAX;142
LAX;143
SEA;144
SEA;145
SEA;146
JFK;147
FLL;148
JFK;149
FLL;150
JFK;151
FLL;152
HNL;153
HNL;154
HNL;155
LAX;156
LAX;157
LAX;158
AMA;159
AMA;160
DAL;161
ORD;162
ORD;163
ORD;164
CLT;165
CLT;166
CLT;167
PHX;168
JFK;169
JFK;170
DCA;171
DCA;172
DCA;173
IAH;174
IAH;175
IAH;176
JFK;177
JFK;178
JFK;179
PHL;180
MHT;181
HOU;182
MCO;183
PHL;184
MHT;185
PHX;186
ORD;187
ORD;188
ORD;189
LAX;190
LAX;191
LAX;192
SEA;193
SEA;194
SEA;195
JFK;196
JFK;197
JFK;198
HNL;199
HNL;200
HNL;201
MCO;202
MAF;203
DAL;204
DCA;205
DCA;206
DCA;207
JFK;208
BUF;209
JFK;210
BUF;211
JFK;212
BUF;213
SJU;214
SJU;215
