id;desvionum;tailnum
1;0;N387SW
1;1;N387SW
2;0;N423WN
2;1;N423WN
3;0;N614SW
3;1;N614SW
4;0;N586AA
4;1;N586AA
4;2;
5;0;N34111
5;1;
6;0;N928WN
6;1;N928WN
7;0;N653SW
7;1;N776WN
8;0;N5ERAA
8;1;N5ERAA
9;0;N463WN
9;1;N463WN
10;0;N249WN
10;1;N249WN
11;0;N272WN
11;1;N272WN
12;0;N928LR
12;1;
13;0;N728SW
13;1;N728SW
14;0;N11191
14;1;N11191
15;0;N324MQ
15;1;N324MQ
16;0;N240MQ
16;1;N240MQ
17;0;N821SK
17;1;N821SK
18;0;N695MQ
18;1;N695MQ
19;0;N620MQ
19;1;N620MQ
20;0;N335AA
20;1;N335AA
21;0;N664AW
21;1;N664AW
22;0;N57111
22;1;N57111
23;0;N352AA
23;1;N352AA
24;0;N433LV
24;1;
25;0;N590UA
25;1;N590UA
26;0;N765AS
26;1;N765AS
27;0;N352SW
27;1;N352SW
28;0;N598JB
28;1;
29;0;N595UA
29;1;N595UA
30;0;N438WN
30;1;
31;0;N3753
31;1;N3753
32;0;N623JB
32;1;N623JB
32;2;N623JB
33;0;N675DL
33;1;N675DL
33;2;N675DL
34;0;N762AS
34;1;N762AS
35;0;N762AS
35;1;
36;0;N762AS
36;1;N762AS
37;0;N595NW
37;1;N595NW
38;0;N582JB
38;1;N582JB
39;0;N655JB
39;1;N655JB
40;0;N319AA
40;1;N319AA
41;0;N538UA
41;1;N538UA
42;0;N965AT
42;1;N954AT
43;0;N635JB
43;1;N635JB
44;0;N509JB
44;1;N509JB
45;0;N5FSAA
45;1;N5FSAA
46;0;N663SW
46;1;N912WN
47;0;N930AT
47;1;N933AT
48;0;N583AA
48;1;N473AA
49;0;N473AA
49;1;N473AA
50;0;N358NW
50;1;N358NW
51;0;N239WN
51;1;N239WN
52;0;N475HA
52;1;N475HA
53;0;N338NW
53;1;N338NW
54;0;N558JB
54;1;N558JB
55;0;N919AT
55;1;N919AT
56;0;N428UA
56;1;N428UA
56;2;
57;0;N76514
57;1;N76514
58;0;N5FHAA
58;1;N5FHAA
59;0;N848UA
59;1;N848UA
59;2;
60;0;N443WN
60;1;N443WN
61;0;N225WN
61;1;N225WN
62;0;N5EGAA
62;1;N5EGAA
63;0;N353NB
63;1;N353NB
64;0;N3757D
64;1;N3757D
65;0;N427UA
65;1;N427UA
66;0;N466WN
66;1;N466WN
67;0;N835AW
67;1;N835AW
68;0;N294JB
68;1;N294JB
69;0;N241WN
69;1;N241WN
70;0;N219AA
70;1;N219AA
71;0;N3DGAA
71;1;N3DGAA
72;0;N477AA
72;1;N477AA
73;0;N550AA
73;1;N550AA
74;0;N934UW
74;1;N934UW
75;0;N461WN
75;1;N461WN
76;0;N818NW
76;1;N818NW
77;0;N434US
77;1;N434US
78;0;N659DL
78;1;N659DL
79;0;N127DL
79;1;N127DL
80;0;N441US
80;1;N441US
81;0;N212WN
81;1;N212WN
82;0;N106US
82;1;N106US
83;0;N437WN
83;1;N437WN
84;0;N743SW
84;1;N743SW
85;0;N446AA
85;1;N446AA
86;0;N584AA
86;1;N584AA
87;0;N3743H
87;1;N3743H
88;0;N211WN
88;1;N211WN
89;0;N432UA
89;1;
90;0;N331NW
90;1;N331NW
91;0;N504AA
91;1;N504AA
92;0;N909DE
92;1;N909DE
93;0;N473WN
93;1;N473WN
94;0;N916DE
94;1;N916DE
95;0;N920DL
95;1;N920DL
96;0;N4WWAA
96;1;N423AA
97;0;N983DL
97;1;N983DL
97;2;N983DL
98;0;N438UA
98;1;N438UA
99;0;N111US
99;1;N111US
100;0;N737US
100;1;N737US
101;0;N921DL
101;1;N921DL
102;0;N332SW
