id;desvionum;iata
1;1;PVD
2;1;SDF
3;1;BWI
4;1;IAD
4;2;EWR
5;1;MDT
6;1;PIT
7;1;TPA
8;1;ABQ
9;1;PVD
10;1;PVD
11;1;ONT
12;1;SBA
13;1;BWI
14;1;MSN
15;1;ONT
16;1;ONT
17;1;IAH
18;1;CID
19;1;GRB
20;1;SYR
21;1;MDT
22;1;SYR
23;1;IAD
24;1;HRL
25;1;ONT
26;1;SCC
27;1;HRL
28;1;LGA
29;1;ONT
30;1;LAS
31;1;PVD
32;1;ROC
32;2;SWF
33;1;SYR
33;2;EWR
34;1;OME
35;1;ANC
36;1;OTZ
37;1;BIS
38;1;PIT
39;1;AVP
40;1;LAS
41;1;MDT
42;1;ATL
43;1;ROC
44;1;AVP
45;1;BDL
46;1;DAL
47;1;ATL
48;1;BWI
49;1;BWI
50;1;DEN
51;1;CMH
52;1;HNL
53;1;PIT
54;1;IAD
55;1;BWI
56;1;PIT
56;2;PHL
57;1;ONT
58;1;BDL
59;1;ONT
59;2;LAX
60;1;ONT
61;1;IAD
62;1;BWI
63;1;PIT
64;1;CVG
65;1;ONT
66;1;LAS
67;1;PIT
68;1;SYR
69;1;BUR
70;1;BDL
71;1;PIT
72;1;CMH
73;1;ORD
74;1;PIT
75;1;ONT
76;1;BOI
77;1;PIT
78;1;ATL
79;1;LAX
80;1;CLT
81;1;MHT
82;1;DEN
83;1;BWI
84;1;BUR
85;1;IAD
86;1;IAD
87;1;BOS
88;1;ONT
89;1;BOS
90;1;DTW
91;1;ORF
92;1;DCA
93;1;ONT
94;1;BDL
95;1;BOS
96;1;DFW
97;1;BWI
97;2;EWR
98;1;LAS
99;1;PHL
100;1;PIT
101;1;BWI
102;1;ONT
103;1;EWR
104;1;BUF
105;1;MKE
106;1;PIT
107;1;LAX
108;1;MDT
109;1;ONT
110;1;MKE
111;1;MDT
112;1;ONT
113;1;BDL
114;1;PIT
115;1;BOS
116;1;ABE
117;1;PIA
118;1;BFL
119;1;BFL
120;1;SFO
121;1;SFO
122;1;ATL
123;1;PIT
124;1;FAT
125;1;CMH
126;1;IAD
127;1;SLC
728;1;HOU
1133;1;ANC
1238;1;ANC
6638;1;BOS
9298;1;ORD
20167;1;BOS
40880;1;CMH
41735;1;BOS
41742;1;CLE
42687;1;MDT
43758;1;SFO
43950;1;LAX
