Id;manufacturer
1;AERO COMMANDER
2;AERONCA
3;AEROSPATIALE
4;AEROSPATIALE/ALENIA
5;AGUSTA SPA
6;AIRBUS
7;AIRBUS INDUSTRIE
8;AVIAT AIRCRAFT INC
9;BAUMAN RANDY
10;BEECH
11;BELL
12;BOEING
13;BOEING OF CANADA LTD
14;BOMBARDIER INC
15;CANADAIR
16;CESSNA
17;COBB INTL/DBA ROTORWAY INTL IN
18;DEHAVILLAND
19;DIAMOND AIRCRAFT IND INC
20;DOUGLAS
21;EMBRAER
22;FREDERICK CHRIS K
23;FRIEDEMANN JON
24;GULFSTREAM AEROSPACE
25;HELIO
26;LEBLANC GLENN T
27;MARZ BARRY
28;MAULE
29;MCDONNELL DOUGLAS
30;MCDONNELL DOUGLAS AIRCRAFT CO
31;MCDONNELL DOUGLAS CORPORATION
32;MORSE GEORGE JR
33;PAIR MIKE E
34;PIPER
35;RAVEN
36;SAAB-SCANIA
37;SIKORSKY
38;STINNETT RON
39;WOBIG WAYNE R
