origin;id
BWI;1
TPA;2
BNA;3
BNA;4
CLE;5
MDW;6
TPA;7
DFW;8
LAS;9
BWI;10
PHX;11
PHX;12
TPA;13
EWR;14
FAT;15
LAX;16
IAH;17
DFW;18
MQT;19
LAX;20
PHX;21
LAX;22
SFO;23
DAL;24
OGG;25
SCC;26
CRP;27
FLL;28
LIH;29
DEN;30
PHX;31
DEN;32
SFO;33
ANC;34
OTZ;35
OME;36
MSP;37
SEA;38
PHX;39
JFK;40
LAX;41
ATL;42
LGB;43
LGB;44
LAS;45
DAL;46
ATL;47
ORD;48
ORD;49
SFO;50
CMH;51
HNL;52
MSP;53
MCO;54
ATL;55
DEN;56
IAH;57
STT;58
ORD;59
TUS;60
LAS;61
MIA;62
MEM;63
JFK;64
ORD;65
MDW;66
SFO;67
MCO;68
SFO;69
DFW;70
DFW;71
DFW;72
DFW;73
LAS;74
SMF;75
HNL;76
ORD;77
ATL;78
LAX;79
PIT;80
MDW;81
PHL;82
DEN;83
OAK;84
DFW;85
STL;86
CVG;87
SMF;88
ORD;89
MSP;90
DFW;91
DCA;92
PHX;93
BOS;94
FLL;95
IAH;96
FLL;97
ONT;98
CLT;99
SAN;100
TPA;101
OAK;102
MIA;103
SYR;104
CLT;105
ORD;106
SMF;107
PIT;108
LIH;109
DTW;110
DTW;111
ABQ;112
RDU;113
CVG;114
CLT;115
CVG;116
ATL;117
LAX;118
LAX;119
LAX;120
SFO;121
ATL;122
CVG;123
BOI;124
MHT;125
IAD;126
SLC;127
MCO;128
MCO;129
MCO;130
LAX;131
LAX;132
LAX;133
DAL;134
HOU;135
ORD;136
ORD;137
ORD;138
PHX;139
PHX;140
JFK;141
JFK;142
JFK;143
DCA;144
DCA;145
DCA;146
BUF;147
JFK;148
BUF;149
JFK;150
BUF;151
JFK;152
IAH;153
IAH;154
IAH;155
HNL;156
HNL;157
HNL;158
DAL;159
DAL;160
HOU;161
HNL;162
HNL;163
HNL;164
ORD;165
ORD;166
ORD;167
ORD;168
LAX;169
LAX;170
SEA;171
SEA;172
SEA;173
HNL;174
HNL;175
HNL;176
SLC;177
SLC;178
SLC;179
MCO;180
PHL;181
DAL;182
HOU;183
MCO;184
PHL;185
LAX;186
PHX;187
PHX;188
PHX;189
JFK;190
JFK;191
JFK;192
DCA;193
DCA;194
DCA;195
BUF;196
BUF;197
BUF;198
LAX;199
LAX;200
LAX;201
JFK;202
DAL;203
HOU;204
SEA;205
SEA;206
SEA;207
FLL;208
JFK;209
FLL;210
JFK;211
FLL;212
JFK;213
ATL;214
ATL;215
DAL;216
HOU;217
DAL;218
HOU;219
LIT;220
JFK;221
JFK;222
JFK;223
LAS;224
PHX;225
PHX;226
SAN;227
PHX;228
SAN;229
DFW;230
DFW;231
DFW;232
DCA;233
DCA;234
DCA;235
IAH;236
IAH;237
IAH;238
SJU;239
SJU;240
CRP;241
HOU;242
SFO;243
SFO;244
SFO;245
OGG;246
OGG;247
OGG;248
LAX;249
LAX;250
LAX;251
JFK;252
LAS;253
JFK;254
LAS;255
JFK;256
LAS;257
IAH;258
IAH;259
IAH;260
LAS;261
LAS;262
LAS;263
DAL;264
HOU;265
DAL;266
HOU;267
SNA;268
PHX;269
SNA;270
PHX;271
SNA;272
DFW;273
DFW;274
DFW;275
EWR;276
EWR;277
EWR;278
BUF;279
BUF;280
BUF;281
SAT;282
SAT;283
SAT;284
IAH;285
IAH;286
IAH;287
ATL;288
ATL;289
ATL;290
HNL;291
HNL;292
HNL;293
HOU;294
DAL;295
HOU;296
LIT;297
DAL;298
HOU;299
HRL;300
LIT;301
SFO;302
SFO;303
SFO;304
HNL;305
HNL;306
HNL;307
SEA;308
SEA;309
SEA;310
JFK;311
JFK;312
JFK;313
JFK;314
ATL;315
LAX;316
LAX;317
LAX;318
DAL;319
HOU;320
MAF;321
PHX;322
SLC;323
PHX;324
SLC;325
MCO;326
MCO;327
MCO;328
JFK;329
JFK;330
JFK;331
JAX;332
JAX;333
HNL;334
HNL;335
HNL;336
AMA;337
DAL;338
HOU;339
LAS;340
AMA;341
DAL;342
HOU;343
LAS;344
TPA;345
SFO;346
SFO;347
SFO;348
LAX;349
LAX;350
LAX;351
SEA;352
SEA;353
SEA;354
JFK;355
JFK;356
JFK;357
ATL;358
ATL;359
ATL;360
SFO;361
SFO;362
SFO;363
DAL;364
HOU;365
DAL;366
HOU;367
IND;368
MCI;369
JFK;370
JFK;371
JFK;372
EWR;373
EWR;374
EWR;375
SAN;376
SAN;377
SAN;378
HNL;379
HNL;380
HNL;381
BUR;382
DAL;383
DEN;384
HOU;385
LAS;386
OKC;387
BUR;388
DAL;389
DEN;390
HOU;391
LAS;392
OKC;393
SEA;394
PHX;395
SEA;396
PHX;397
SEA;398
SEA;399
SEA;400
SEA;401
JFK;402
JFK;403
JFK;404
HNL;405
HNL;406
HNL;407
RSW;408
RSW;409
RSW;410
BNA;411
SFO;412
SFO;413
PHX;414
SFO;415
ONT;416
PHX;417
ONT;418
PHX;419
OGG;420
OGG;421
SEA;422
SEA;423
SEA;424
FLL;425
FLL;426
FLL;427
HNL;428
HNL;429
HNL;430
ATL;431
ATL;432
ATL;433
SAN;434
SAN;435
SAN;436
DAL;437
HOU;438
LBB;439
TPA;440
DAL;441
HOU;442
LBB;443
TPA;444
JFK;445
JFK;446
JFK;447
JFK;448
JFK;449
JFK;450
JFK;451
JFK;452
BOS;453
BOS;454
BOS;455
JFK;456
JFK;457
JFK;458
EWR;459
EWR;460
EWR;461
ATL;462
ATL;463
ATL;464
SEA;465
SEA;466
SEA;467
HNL;468
HNL;469
HNL;470
HOU;471
TPA;472
DAL;473
HOU;474
LAS;475
LBB;476
DAL;477
HOU;478
LAS;479
LBB;480
LAX;481
PHX;482
LAX;483
PHX;484
SFO;485
SFO;486
SFO;487
SEA;488
SEA;489
SEA;490
JFK;491
JFK;492
JFK;493
LAX;494
LAX;495
JFK;496
JFK;497
JFK;498
LAS;499
LAS;500
LAS;501
MDW;502
SMF;503
JFK;504
JFK;505
JFK;506
JFK;507
JFK;508
MIA;509
MIA;510
MIA;511
EWR;512
EWR;513
EWR;514
ATL;515
ATL;516
HNL;517
HNL;518
HNL;519
HOU;520
HOU;521
HRL;522
ORD;523
SFO;524
SFO;525
SFO;526
SEA;527
SEA;528
SEA;529
FLL;530
FLL;531
FLL;532
LGA;533
LGA;534
LGA;535
SEA;536
SMF;537
SMF;538
SMF;539
DAL;540
HOU;541
JAX;542
LIT;543
DAL;544
HOU;545
JAX;546
LIT;547
JFK;548
JFK;549
JFK;550
JFK;551
JFK;552
JFK;553
MCO;554
MCO;555
MCO;556
BTV;557
BTV;558
BTV;559
ATL;560
ATL;561
ATL;562
HNL;563
HNL;564
HNL;565
CRP;566
DAL;567
HOU;568
BDL;569
PHX;570
PHX;571
PHX;572
SFO;573
SFO;574
SFO;575
SEA;576
SEA;577
SEA;578
JFK;579
JFK;580
JFK;581
MDW;582
MDW;583
MDW;584
SEA;585
SEA;586
SEA;587
AMA;588
DAL;589
HOU;590
AMA;591
DAL;592
HOU;593
JFK;594
JFK;595
JFK;596
JFK;597
JFK;598
JFK;599
ORD;600
ORD;601
ORD;602
JFK;603
JFK;604
JFK;605
MSY;606
MSY;607
MSY;608
HNL;609
HNL;610
HNL;611
DAL;612
OKC;613
LAX;614
LAX;615
LAX;616
PHX;617
LAX;618
LAX;619
SEA;620
SEA;621
SEA;622
JFK;623
JFK;624
JFK;625
JFK;626
DAL;627
ELP;628
HOU;629
PHX;630
DAL;631
ELP;632
HOU;633
PHX;634
JFK;635
JFK;636
JFK;637
HNL;638
ORD;639
ORD;640
ORD;641
EWR;642
EWR;643
EWR;644
