id;desvionum;wheelson;wheelsoff
1;0;32;2058
1;1;;2353
2;0;1047;834
2;1;;1055
3;0;2143;1714
3;1;;2115
4;0;;1506
4;1;;2006
4;2;;
5;0;;1951
5;1;;
6;0;2122;1639
6;1;;2031
7;0;2253;2053
7;1;;2211
8;0;1903;1719
8;1;;1831
9;0;138;1454
9;1;;112
10;0;2103;1812
10;1;;2033
11;0;1014;634
11;1;;1005
12;0;;2016
12;1;;
13;0;2139;1736
13;1;;2110
14;0;1513;1152
14;1;;1426
15;0;1128;818
15;1;;1115
16;0;1122;637
16;1;;1045
17;0;1932;1420
17;1;;1646
18;0;;1006
18;1;;
19;0;851;802
19;1;;829
20;0;2142;954
20;1;;2009
21;0;2207;1027
21;1;;2027
22;0;2153;1048
22;1;;2111
23;0;2115;849
23;1;;2010
24;0;;1758
24;1;;
25;0;642;2052
25;1;;630
26;0;1226;942
26;1;;1150
27;0;2119;2001
27;1;;2036
28;0;;1752
28;1;;
29;0;706;2048
29;1;;652
30;0;;739
30;1;;
31;0;2109;807
31;1;;2000
32;0;23;1217
32;1;;2040
32;2;;2351
33;0;38;954
33;1;;2015
33;2;;25
34;0;2147;1809
34;1;;2114
35;0;;2250
35;1;;
36;0;2;2114
36;1;;2250
37;0;11;2146
37;1;;2357
38;0;2220;1012
38;1;;2018
39;0;2335;1342
39;1;;2256
40;0;105;2116
40;1;;24
41;0;2050;1041
41;1;;2024
42;0;2242;1938
42;1;;2129
43;0;2304;937
43;1;;2044
44;0;225;1324
44;1;;158
45;0;1838;831
45;1;;1744
46;0;1132;937
46;1;;1048
47;0;1910;1507
47;1;;1704
48;0;2315;1612
48;1;;2219
49;0;;1518
49;1;;
50;0;738;25
50;1;;500
51;0;941;725
51;1;;845
52;0;1142;948
52;1;;1048
53;0;1014;1524
53;1;;924
54;0;100;2020
54;1;;23
55;0;2350;2013
55;1;;2248
56;0;;1231
56;1;;1933
56;2;;
57;0;950;736
57;1;;926
58;0;2022;1308
58;1;;1926
59;0;;2107
59;1;;12
59;2;;
60;0;944;624
60;1;;920
61;0;2120;1056
61;1;;2047
62;0;2326;1643
62;1;;2221
63;0;1023;1430
63;1;;931
64;0;55;2121
64;1;;27
65;0;10;2056
65;1;;2348
66;0;1032;643
66;1;;947
67;0;2137;1059
67;1;;2045
68;0;2156;1647
68;1;;2110
69;0;1024;635
69;1;;949
70;0;2040;1325
70;1;;2007
71;0;10;1410
71;1;;2237
72;0;20;1458
72;1;;2223
73;0;2237;1600
73;1;;1911
74;0;2147;1152
74;1;;2053
75;0;852;624
75;1;;843
76;0;900;1736
76;1;;541
77;0;1630;747
77;1;;1541
78;0;1418;1107
78;1;;1232
79;0;852;2257
79;1;;208
80;0;1318;818
80;1;;1142
81;0;47;1816
81;1;;25
82;0;1337;947
82;1;;1230
83;0;2105;1416
83;1;;2039
84;0;1013;610
84;1;;948
85;0;2155;1601
85;1;;2123
86;0;2354;1545
86;1;;2247
87;0;;1950
87;1;;
88;0;952;609
88;1;;929
89;0;;1908
89;1;;
90;0;2245;1521
90;1;;2053
91;0;1924;1326
91;1;;1851
92;0;2213;1649
92;1;;2001
93;0;1021;630
93;1;;956
94;0;;1946
94;1;;
95;0;145;1913
95;1;;120
96;0;1239;704
96;1;;1045
97;0;13;1512
97;1;;1958
97;2;;2
98;0;1517;1048
98;1;;1254
99;0;2305;1618
99;1;;2232
100;0;2140;1130
100;1;;2047
101;0;8;1937
